,0
"""FRANCE,MORIGNY CHAMPIGNY ETAMPES,91150""
","48.4381946,2.1774795"
"""FRANCE,CHAMPAGNE,7340""
","47.6289109,-0.4548955"
"""GERMANY,LIMBACH-OBERFROHNA,9212""
","50.8520591,12.7512425"
"""ITALY,BOLOGNA,40131""
","44.5252796,11.3261664"
"""GERMANY,ENDINGEN A.K,79346""
","48.1327914,7.673796"
"""NETHERLANDS,ALMERE,1314 AL""
","52.3811428,5.2119796"
"""BELGIUM,AARTSELAAR,2630""
","51.1340539,4.3844742"
"""GERMANY,WETTER,58300""
","51.3785418,7.3632022"
"""ITALY,CASCINE VICA - RIVOLI,10090""
","45.0699446,7.5404307"
"""GERMANY,LANGENHAGEN,30855""
","52.4879267,9.6900251"
"""ITALY,AIRASCA,10060""
","44.9182892,7.4856624"
"""FRANCE,MEYZIEU,69330""
","45.766821,5.003658"
"""ITALY,LAINATE,2020""
","45.5427416,9.0329893"
"""FRANCE,TOULAUD,7130""
","44.6739788,4.619363"
"""GERMANY,HORB,72160""
","48.4544359,8.6481543"
"""ITALY,TERRUGGIA,15030""
","45.0824039,8.4446473"
"""UNITED KINGDOM,HAVANT,PO9 2NB""
","50.8658899,-0.9671372"
"""ITALY,CASTEL SAN PIETRO TERME,40024""
","44.3996931,11.5891279"
"""BELGIUM,SINT-TRUIDEN,3800""
","50.8019192,5.2202655"
"""GERMANY,KASSEL,34123""
","51.3011458,9.5253672"
"""UNITED KINGDOM,BROUGH,HU15 1EG""
","53.7254276,-0.5792154"
"""BELGIUM,DESTELDONK,9042""
","51.1220868,3.7825691"
"""GERMANY,SELM,59379""
","51.6774905,7.4837764"
"""CZECH REPUBLIC,BELOTIN,753 64""
","49.5912004,17.8065479"
"""ITALY,OSIO SOTTO ,24046""
","45.6130227,9.5873327"
"""POLAND,MYSLOWICE,41-409""
","50.1785278,19.1724233"
"""ITALY,SOZZIGALLI DI SOLIERA,41019""
","44.7487848,10.9760089"
"""ITALY,SETTIMO MILANESE,20019""
","45.4866596,9.0567416"
"""SPAIN,ELORRIO,48230""
","43.1295589,-2.5423293"
"""UNITED KINGDOM,ROCHESTER,ME1 2XX""
","51.3571155,0.5033109"
"""GERMANY,KÖNIGSBRONN,89551""
","48.7285526,10.1112206"
"""ITALY,FRASSINORO,41044""
","44.2968338,10.5729981"
"""ITALY,RIVALTA DI TORINO,10100""
","45.056815,7.6501807"
"""GERMANY,ESSLINGEN-METTINGEN,73733""
","48.7563127,9.2985401"
"""ITALY,ROSTA,10090""
","45.0705385,7.472695"
"""FRANCE,LES HERBIERS,85500""
","46.86919,-1.013388"
"""GERMANY,ELCHINGEN,89275""
","48.4473473,10.0882187"
"""GERMANY,SINGEN,78224""
","47.7670971,8.8722387"
"""TURKEY,CATALCA ISTANBUL,34540""
","41.142259,28.457469"
"""ITALY,ARCO,38062""
","45.9178609,10.8855763"
"""ITALY,ANCONA,60131""
","43.6158299,13.518915"
"""FRANCE,SAINT-QUENTIN FALLAVIER,38070""
","45.632449,5.111562"
"""ITALY,CONSELICE,48017""
","44.5151005,11.8285289"
"""ITALY,VALPERGA,10087""
","45.3703103,7.6575696"
"""ITALY,CASTEL ROZZONE,24040""
","45.5565155,9.6238398"
"""GERMANY,ESCHWEGE,37269""
","51.1876662,10.0397725"
"""POLAND,WYSZKOW,07-200""
","52.5955808,21.451209"
"""NETHERLANDS,SLIEDRECHT,3361""
","51.8186046,4.767992"
"""ITALY,CASTELFRACO EMILIA,41013""
","44.5899674,11.0978357"
"""UNITED KINGDOM,EBBW VALE,NP23 5SD""
","51.8025906,-3.2338243"
"""ITALY,RUFFANO,73049""
","39.9829215,18.2490162"
"""LATVIA,JELGAVA,3004""
","56.6736182,23.7624455"
"""ITALY,THIENE,36016""
","45.692401,11.4839019"
"""DENMARK,HORSENS,8700""
","55.8581302,9.8475881"
"""ITALY,MONCALIERI,10024""
","44.9983525,7.6802878"
"""FRANCE,STRASBOURG,67100""
","48.5266021,7.781398"
"""FRANCE,ROOST WARENDIN,59286""
","50.415327,3.1050809"
"""ITALY,SANDRIGO,36066""
","45.6592011,11.6029356"
"""FRANCE,PONTARLIER,25300""
","46.9041039,6.354242"
"""ITALY,REGGIO EMILIA,42010""
","44.4076831,10.5633676"
"""ITALY,CASTELGUELFO DI BOLOGNA,40023""
","44.4328527,11.6750857"
"""FRANCE,BELLAC,87300""
","46.122228,1.051593"
"""FRANCE,CHAMBRAY-LES-TOURS,37170""
","47.3376625,0.7013087"
"""UNITED KINGDOM,SHIPLEY,BD17 7JR""
","53.8448367,-1.7525278"
"""ITALY,SIZIANO,27010""
","45.3174277,9.2023619"
"""ITALY,VIGOLZONE,29020""
","44.9184763,9.6699268"
"""ITALY,BARI,70026""
","41.0863651,16.7824429"
"""GERMANY,BERLIN,13597""
","52.5295796,13.2139084"
"""ITALY,SAN ZENO DI CASSOLA,36022""
","45.7458326,11.7689992"
"""BELGIUM,LEMBEEK - HALLE,1502""
","50.7140616,4.2200436"
"""POLAND,TORUN,87-100""
","53.0139427,18.5465507"
"""FRANCE,MARLY LA VILLE,95670""
","49.0798707,2.5048554"
"""FRANCE,SAINT CLAIR,7430""
","47.5283348,-1.9526763"
"""BELGIUM,WIELSBEKE,8710""
","50.9099425,3.3724874"
"""AUSTRIA,LINZ,4481""
","48.2381449,14.4191362"
"""GERMANY,KRAIBURG,84559""
","48.1847674,12.4313466"
"""GERMANY,FELLBACH,70736""
","48.8405086,9.2677632"
"""BELGIUM,WILRIJK,2610""
","51.1683102,4.3942868"
"""GERMANY,HANNOVER,30453""
","52.3723858,9.6890537"
"""FRANCE,LIMAY,78520""
","48.992181,1.735384"
"""ITALY,TORBIATO DI ADRO,25030""
","45.6115068,9.9849948"
"""ITALY,PEGOGNAGA,46020""
","44.9970333,10.8576798"
"""ITALY,ARSEGO,35010""
","45.5400744,11.8781004"
"""ITALY,CAPRIE,10040""
","45.1185608,7.3316602"
"""FRANCE,LEYMENT,1150""
","45.9041826,5.2741373"
"""FRANCE,AULNAY SOUS BOIS,93618""
","48.9318625,2.4943891"
"""ITALY,NOVARA,28100""
","45.44693,8.6221612"
"""FRANCE,CUGAND,85610""
","47.065508,-1.253343"
"""UNITED KINGDOM,BIRMINGHAM,B42 1EA""
","52.5293228,-1.9289805"
"""ITALY,DOSSO,44040""
","44.8505734,12.2974576"
"""ITALY,LUINO,21016""
","46.0018022,8.7464"
"""ITALY,JESI,60035""
","43.5270861,13.2463797"
"""GERMANY,DULMEN,48249""
","51.8579795,7.3138755"
"""GERMANY,EMPFINGEN,72186""
","48.3987529,8.7191652"
"""GERMANY,ULM-ENSINGEN,89079""
","48.3528806,9.899772"
"""UNITED KINGDOM,SHILDON,DL4 2QN""
","54.6248415,-1.639436"
"""GERMANY,NEUSS,41468""
","51.1615558,6.774529"
"""TURKEY,KIRSEHIR,40100""
","39.146078,34.1594989"
"""SPAIN,CASTELLON DE LA PLANA,12003""
","39.9837973,-0.0303198"
"""ITALY,VAIE,10050""
","45.1017944,7.2866374"
"""ITALY,VERCELLI,13048""
","45.3725355,8.2000117"
"""BELGIUM,BRUSSEL,1080""
","50.8569755,4.3193694"
"""ITALY,OSOPPO (UD),33010""
","46.2582202,13.0787992"
"""FRANCE,GEVIGNEY MERCEY,70500""
","47.798893,5.93065"
"""FRANCE,ROISSY CDG CEDEX,95933""
","49.0096906,2.5479245"
"""AUSTRIA,TAXACH BEI HALLEIN,5400""
","47.72526,13.07196"
"""POLAND,LEGNICA,59-220""
","51.20755,16.1152486"
"""GERMANY,MUDAU,69427""
","49.5327851,9.2058951"
"""ITALY,LEGNAGO,37045""
","45.1935965,11.303213"
"""ITALY,PONT CANAVESE,10085""
","45.419916,7.5972305"
"""POLAND,PLOCK,09-407""
","52.5394935,19.7071733"
"""ITALY,NOGAROLE ROCCA,37060""
","45.2938171,10.8787546"
"""ITALY,CAMBIANO,10020""
","44.9743686,7.7672538"
"""ITALY,VILLANOVA D'ASTI,14019""
","44.9422651,7.9373876"
"""ITALY,PESARO,61100""
","43.9026309,12.8597886"
"""BELGIUM,LAARNE,9270""
","51.042179,3.8751133"
"""GERMANY,PFUNGSTADT,64319""
","49.7933991,8.5829894"
"""SPAIN,ERMUA,48260""
","43.1873519,-2.5037039"
"""ITALY,OSIO SOTTO,24046""
","45.6130227,9.5873327"
"""ITALY,ROVERETO,38068""
","45.89096,11.0401399"
"""POLAND,LEGNICKIE POLE,59-241""
","51.1443537,16.2427819"
"""SPAIN,VALLADOLID,47012""
","41.6303025,-4.6915484"
"""BELGIUM,BERINGEN,3580""
","51.0473373,5.2214769"
"""AUSTRIA,BRUNN AM GEBIRGE,2345""
","48.1135005,16.3010359"
"""FRANCE,DOMENE,38420""
","45.202271,5.838336"
"""ITALY,PIOSSASCO,10045""
","44.9898305,7.4681995"
"""ITALY,STATTE,74010""
","40.5625214,17.2087909"
"""ITALY,TAURISANO,73056""
","39.9580705,18.2130205"
"""GERMANY,SCHROBENJAUSEN,86529""
","48.5629444,11.2322974"
"""GERMANY,KLETTGAU,79771""
","47.6553112,8.425007"
"""GERMANY,BUXTEHUDE,21614""
","53.4639095,9.6828348"
"""BELGIUM,ZINGEM,9750""
","50.9013625,3.6526698"
"""ITALY,PIANEZZA,10044""
","45.1104305,7.5586164"
"""POLAND,WARSZAWA,03-994""
","52.1546211,21.1839494"
"""TURKEY,TUZLA,34953""
","40.8676176,29.3366501"
"""ITALY,CIRIE,10073""
","45.2358319,7.6014933"
"""ITALY,RAVENNA,48100""
","44.4198162,12.2069978"
"""CZECH REPUBLIC,ZASTAVKA U BRNA,664 84""
","49.1879961,16.3631011"
"""ITALY,MINERBE (VR),37046""
","45.2409498,11.3295949"
"""ITALY,CASATENOVO,23880""
","45.6972083,9.3120344"
"""GERMANY,IRXLEBEN,39167""
","52.1650553,11.4855965"
"""GERMANY,MECKENBEUREN,88074""
","47.7101687,9.5765278"
"""ITALY,MANIAGO,33085""
","46.1650862,12.7065671"
"""ITALY,VALPERGA CANAVESE,10087""
","45.3817083,7.6598174"
"""ITALY,FRAZIONE MAZZO DI RHO,20017""
","45.5335225,9.0689682"
"""SLOVAKIA,POVAZSKA BYSTRICA,1701""
","49.1131198,18.447663"
"""NETHERLANDS,THOLEN,4691 SM""
","51.5420203,4.2279751"
"""FRANCE,WATTRELOS,59150""
","50.7024419,3.2221405"
"""GERMANY,MAINZ,55129""
","49.9406587,8.2607044"
"""SLOVAKIA,LOZORNO,90055""
","48.3208977,17.0711079"
"""GERMANY,BIELEFELD,33719""
","52.0199295,8.6134521"
"""UNITED KINGDOM,SUTTON,SM3 9BW""
","51.3786621,-0.2136964"
"""GERMANY,WOLFENBUETTEL,38302""
","52.175862,10.564643"
"""UNITED KINGDOM,HOUGHTON REGIS,LU5 5BF""
","51.8983898,-0.5261303"
"""UNITED KINGDOM,NORTH KIDDERMINSTER,DY10 3SD""
","52.4139264,-2.2278236"
"""TURKEY,SEKERPINAR/GEBZE/KOCAELI,41410""
","40.8491819,29.4129493"
"""ITALY,PROVAGLIO D'ISEO,25050""
","45.6341322,10.0463434"
"""ITALY,CASTEL GUELFO DI BOLOGNA,40023""
","44.4328527,11.6750857"
"""NETHERLANDS,OLDENZAAL,7570 AT""
","52.2501944,6.9153791"
"""CZECH REPUBLIC,VYSOKIE MYTO,566 01""
","49.9542636,16.1641685"
"""UNITED KINGDOM,WITNEY,OX29 0YG""
","51.7879973,-1.514539"
"""UNITED KINGDOM,WARWICK,CV34 6TF""
","52.2736619,-1.5494984"
"""ITALY,BAIRO,10010""
","45.3857766,7.7583935"
"""UNITED KINGDOM,TIPTON,DY4 8UG""
","52.5260964,-2.0511762"
"""ITALY,ASTI,14100""
","44.9007512,8.2064257"
"""FRANCE,JOUE LES TOURS,37305""
","47.3445103,0.6691477"
"""SPAIN,MADRID,28022""
","40.4419938,-3.5863313"
"""GERMANY,DUELMEN-DERNEKAMP,48249""
","51.809249,7.3105388"
"""GERMANY,ESSLINGEN,73730""
","48.7271837,9.3526316"
"""POLAND,WIECBORK,89-410""
","53.3436497,17.4773082"
"""FRANCE,VENISSIEUX CEDEX,69638""
","45.6822969,4.868556"
"""UNITED KINGDOM,IPSWICH,IP3 9RR""
","52.0292835,1.2110814"
"""ITALY,SARONNO,21047""
","45.6242491,9.0359607"
"""UNITED KINGDOM,GATESHEAD,NE10 0QD""
","54.9532935,-1.5440207"
"""GERMANY,LEMFOERDE,49448""
","52.465724,8.3759815"
"""ITALY,NOVA MILANESE,20854""
","45.5930522,9.1928311"
"""ITALY,RHO,20017""
","45.5353029,9.0551608"
"""ITALY,NUSCO,83501""
","41.891646,12.6304958"
"""UNITED KINGDOM,POOLE,BH17 0GE""
","50.7401172,-1.9762527"
"""POLAND,LUBAN SLASKI,59-800""
","51.1192902,15.293728"
"""GERMANY,VELBERT,42553""
","51.3158524,7.0987907"
"""ITALY,MILANO,20149""
","45.4731689,9.1487328"
"""ITALY,SANTA VITTORIA DI GUALTIE,42040""
","44.8544119,10.6350188"
"""ITALY,TARANTO,74100""
","40.4643606,17.2470303"
"""FRANCE,CHATELLERAULT CEDEX,86107""
","46.8179207,0.5465548"
"""FRANCE,VERTOU,44115""
","47.1956651,-1.4234966"
"""ITALY,COLLESALVETTI,57017""
","43.591616,10.354"
"""UNITED KINGDOM,BORDON,GU35 9QE""
","51.1098402,-0.8671286"
"""ITALY,BARGE,12032""
","44.7260036,7.3260545"
"""SWEDEN,DALSTORP,514 63""
","57.5993171,13.5251448"
"""GERMANY,TROISDORF,53840""
","50.8190807,7.1574549"
"""POLAND,KUTNO,99-300""
","52.230618,19.364278"
"""ITALY,MANGONE,87050""
","39.2032651,16.3342319"
"""NETHERLANDS,BOXTEL,5281 PB""
","51.575707,5.3244066"
"""FINLAND,LAITILA,23801""
","60.8667094,21.6857028"
"""HUNGARY,KUNSZENTMARTON,5440""
","46.8199734,20.3033038"
"""POLAND,LODZ,92-402""
","51.5409766,19.9709059"
"""ITALY,BUSALLA,16012""
","44.5692431,8.9461497"
"""ITALY,CARPENEDOLO,25013""
","45.3670367,10.4361617"
"""ITALY,MONTECCHIO MAGGIORE,36075""
","45.5002501,11.42131"
"""ITALY,LENO,25024""
","45.3680207,10.2178501"
"""GERMANY,HEIDELBERG,69126""
","49.3693394,8.6935081"
"""FRANCE,LE MEUX,60880""
","49.366934,2.744351"
"""GERMANY,BERLIN,13581""
","52.5299056,13.1870598"
"""FRANCE,LE HAVRE CEDEX,76061""
","48.0386685,-2.9231898"
"""GERMANY,GROSSBEEREN,14979""
","52.3687324,13.3165257"
"""GERMANY,HEILIGENHAUS,42579""
","51.3273148,6.9655959"
"""HUNGARY,VESZPREM,8200""
","47.1139486,17.9025358"
"""FRANCE,ANNEMASSE CEDEX,74130""
","46.1930725,6.2555076"
"""FRANCE,LE CHAMBON FEUGEROLLES,42500""
","45.3959766,4.3355896"
"""FRANCE,AUTECHAUX,25110""
","47.378738,6.384494"
"""ITALY,MONTORSO,36050""
","45.4879822,11.3638947"
"""ITALY,FAVRIA CANAVESE,10083""
","45.3138838,7.6858387"
"""FRANCE,MONDEVILLE,14125""
","49.1659742,-0.2920496"
"""BELGIUM,GROOT-BIJGAARDEN,1702""
","50.8719066,4.2500012"
"""POLAND,RADOM,26-600""
","51.4150656,21.1539739"
"""ITALY,MAROSTICA,36063""
","45.7459624,11.6583922"
"""GERMANY,MINDEN,32423""
","52.2937952,8.9553818"
"""FRANCE,PANNES,45700""
","48.017792,2.668507"
"""TURKEY,SEKERPINAR/CAYIROVA,41420""
","40.860199,29.388468"
"""FRANCE,FONTAINE,90150""
","47.658283,6.995466"
"""FRANCE,LE MANS,72000""
","48.0157803,0.1609266"
"""ITALY,MONTA',12046""
","44.814057,7.9542336"
"""AUSTRIA,GROSSPETERSDORF,7503""
","47.2388886,16.3179334"
"""ITALY,DRUENTO,10040""
","45.1346452,7.5765427"
"""UNITED KINGDOM,BRENTWOOD,CM13 1TB""
","51.637814,0.3570887"
"""GERMANY,FRIEDRICHSHAFEN,88045""
","47.6409837,9.4531594"
"""ITALY,MONTEVEGLIO,40050""
","44.4718457,11.1000671"
"""GERMANY,HEUSENSTAMM,63150""
","50.0496244,8.8141224"
"""UNITED KINGDOM,CHESTERFIELD,S42 5UY""
","53.1917287,-1.3588993"
"""FRANCE,ANNECY CEDEX,74009""
","45.91366,6.1347767"
"""ITALY,POIRINO,10046""
","44.9194398,7.8481961"
"""UNITED KINGDOM,WILLENHALL,WV13 3SN""
","52.5916439,-2.0790636"
"""ITALY,REGGION EMILIA,42124""
","44.6989932,10.6296859"
"""GERMANY,SAARBRUECKEN,66117""
","49.2218231,6.9608576"
"""POLAND,SKEPE,87-630""
","52.8678583,19.339809"
"""FRANCE,AULNAY BOIS,93618""
","48.9301316,2.4823265"
"""GERMANY,PASSAU,94036""
","48.5790873,13.3832805"
"""UNITED KINGDOM,LEEDS,LS14 2LA""
","53.8325013,-1.4585895"
"""ITALY,ROBASSOMERO,10070""
","45.1981211,7.5661554"
"""UNITED KINGDOM,NOTTINGHAMSHIRE,NG17 2HW""
","53.120703,-1.3085544"
"""NETHERLANDS,MOERDIJK,4782""
","51.6844433,4.6023508"
"""ITALY,S ANTONINO DI SUSA,10050""
","45.1080996,7.2695916"
"""ITALY,MERCATO SAN SEVERINO,84085""
","40.7815673,14.7527759"
"""ITALY,BERLINGO,25030""
","45.5023196,10.0315736"
"""GERMANY,SUDERBURG,29556""
","52.9,10.466667"
"""GERMANY,BAD SCHÖNBORN,76669""
","49.2131727,8.6646773"
"""ITALY,FORNO CANAVESE,10048""
","45.3356528,7.6127773"
"""CZECH REPUBLIC,HOSTIVICE,253 01""
","50.0815792,14.2585703"
"""FRANCE,ST ETIENNE DU BOIS ,1370""
","49.2809826,0.1437152"
"""FRANCE,BRIGNAIS,69530""
","45.674944,4.7525639"
"""AUSTRIA,HALLEIN,5400""
","47.6817773,13.1077881"
"""BELGIUM,BEERNEM,8730""
","51.1530821,3.3301125"
"""UNITED KINGDOM,BEAUMONT LEYS,LE4 2BN""
","52.670611,-1.169516"
"""ITALY,BIANZE',13041""
","45.308504,8.120567"
"""ITALY,SCARPERIA,50038""
","43.9937487,11.3533461"
"""GERMANY,BABENHAUSEN,64832""
","49.9513575,8.9486323"
"""FRANCE,ROSULT,59230""
","50.4588279,3.365006"
"""POLAND,GLINIANKA,05-408""
","52.1344171,21.4121868"
"""UNITED KINGDOM,POWYS,LD3 8LA""
","51.9419778,-3.4104645"
"""ITALY,CORINALDO,60013""
","43.6487972,13.049839"
"""ITALY,MONTELABBATE,61025""
","43.8497445,12.7891209"
"""GERMANY,ZSCHOPAU,9405""
","50.9815368,12.999822"
"""ITALY,ORBASSANO,10043""
","45.0057265,7.5353625"
"""GERMANY,WUPPERTAL,42351""
","51.2194638,7.313613"
"""GERMANY,NEUSTADT,1844""
","52.6203888,10.0582129"
"""ITALY,POZZO D'ADDA,20060""
","45.575929,9.5007669"
"""IRELAND,TRALEE,CO KERRY""
","52.2713096,-9.6999325"
"""POLAND,LODZ,91-210""
","51.8016128,19.3923902"
"""FRANCE,SAINT MARTIN LE BEAU,37270""
","47.355813,0.910268"
"""ITALY,MORRA DE SANCTIS,83040""
","40.9327284,15.2425333"
"""GERMANY,KREFELD-GELLEP,47809""
","51.3290313,6.6714749"
"""ITALY,PREGNANA MILANESE,20010""
","45.5182804,9.0129907"
"""ITALY,OFFANENGO,26010""
","45.3794736,9.7443909"
"""GERMANY,NEU ULM,89231""
","48.3735527,10.0102206"
"""FRANCE,NOGENT,52800""
","48.026938,5.341363"
"""UNITED KINGDOM,NORTH TYNESIDE,NE27 0YT""
","55.0343434,-1.5209884"
"""ITALY,SEGGIANO DI PIOLTELLO (MI),20096""
","45.4928275,9.3205612"
"""GERMANY,WIEHL,51674""
","50.9487426,7.5608848"
"""TURKEY,IZMIR, ALIAĞA ,35800""
","38.799561,26.97074"
"""ITALY,NOGAROLA ROCCA (VR),37060""
","45.2938171,10.8787546"
"""TURKEY,BURSA,16140""
","40.2423732,28.9470422"
"""FRANCE,GEVIGNEY,70500""
","47.8868304,5.9484976"
"""ITALY,STATTE TARANTO,74010""
","40.5625214,17.2087909"
"""ITALY,PARMA,42032""
","44.672176,10.38388"
"""ITALY,LA LOGGIA,10040""
","44.956775,7.6673332"
"""SWEDEN,RINKABY,291 76 ""
","55.9848416,14.2717326"
"""BELGIUM,ANS,4430""
","50.660213,5.5265524"
"""ITALY,CARISIO,13040""
","45.4281819,8.2160667"
"""BELGIUM,IZEGEM,8870""
","50.9180785,3.2132192"
"""FRANCE,MONDEVILLE,14120""
","49.1672469,-0.3086207"
"""ITALY,VILLANOVA D'ASTI (AT),14019""
","44.9422651,7.9373876"
"""ITALY,RIVALTA DI TORINO,10043""
","45.0092532,7.5493087"
"""GERMANY,BAD SCHUSSENRIED,88424""
","48.0065454,9.6558605"
"""AUSTRIA,BAD HALL,4540""
","48.0380697,14.2088574"
"""ITALY,TORREGLIA,35038""
","45.3351763,11.7314351"
"""ITALY,VOLVERA,10040""
","44.9523517,7.5121797"
"""GERMANY,LOHMAR,57397""
","50.6443404,7.2297077"
"""NETHERLANDS,EERSEL,5521 DZ""
","51.3733949,5.3164982"
"""FRANCE,ANGERS CEDEX,49017""
","48.8693156,2.3501981"
"""FRANCE,CHAMBERY,73000""
","45.564601,5.917781"
"""UNITED STATES,SPRINGFIELD,65807""
","37.1756964,-93.3288183"
"""GERMANY,KAUFBEUREN,87600""
","47.876303,10.6260634"
"""ITALY,ROSETO DEGLI ABRUZZI,64026""
","42.6751898,14.0160161"
"""UNITED KINGDOM,CRAMLINGTON,NE23 1WA""
","55.1026538,-1.6060313"
"""ITALY,CASSINE,15016""
","44.7521527,8.5261639"
"""ITALY,PIACENZA,2100""
","45.0589228,9.6587942"
"""BELGIUM,ROESELATE,8800""
","50.9387847,3.1451697"
"""ITALY,MONZAMBANO,46040""
","45.386839,10.693692"
"""UNITED STATES,SPRINGDALE,72762""
","36.1867442,-94.1288141"
"""SLOVAKIA,MYJAVA,90701""
","48.7803026,17.5669226"
"""ITALY,MALONNO,25040""
","46.1222475,10.3222895"
"""POLAND,NOWA DEBA,39-460""
","50.411353,21.7495585"
"""GERMANY,DAMME,49401""
","52.5242072,8.2246595"
"""ITALY,BRESCIA,25126""
","45.5414092,10.1903533"
"""ITALY,PINEROLO,10064""
","44.8845906,7.3306676"
"""CZECH REPUBLIC,TABOR,390 01""
","49.3985323,14.6576423"
"""GERMANY,ST WENDEL,66606""
","49.4491481,7.1621763"
"""PORTUGAL,EVORA,7005""
","38.571431,-7.913502"
"""ITALY,CAMPODARSEGO,35011""
","45.5015196,11.906657"
"""ITALY,REZZATO,25086""
","45.5071605,10.3324897"
"""ITALY,MONZA,20900""
","45.5845001,9.2744485"
"""GERMANY,SOHLAND AN DER SPREE,2689""
","51.0436467,14.4705934"
"""UNITED KINGDOM,TELFORD,TF1 6AF""
","52.7079625,-2.4723913"
"""FINLAND,TAMPERE,33331""
","61.4977524,23.7662274"
"""GERMANY,LEINGARTEN,74211""
","49.1382128,9.1064231"
"""ITALY,TROFARELLO,10028""
","44.9758592,7.7453658"
"""UNITED KINGDOM,WORCESTER,WR4 9FA""
","52.2131165,-2.171939"
"""FRANCE,LA TOUR DU PIN,38110""
","45.564026,5.445327"
"""FRANCE,CORVOL L ORGUEILLEUX,58460""
","47.431222,3.404975"
